リファレンス	種類	値	数量	秋月販売コード	秋月数量	
"C1-C8, C10-C12, C14, C16, C17, C19-C25, C28-C38, C41, C50, C51"	積層セラミックコンデンサ	100nF 50V	35	115927	4	
C9	積層セラミックコンデンサ	1nF 50V	1	108114	1	
C13	積層セラミックコンデンサ	1µF 50V	1	108150	1	
C15	電気二重層コンデンサ	1F 5.5V	1	104248	1	
C18	積層セラミックコンデンサ	47pF 50V	1	108045	1	
"C26, C39, C40, C42-C49"	電解コンデンサ	1µF 50V	11	117889	11	
C27	電解コンデンサ	10µF 50V	1	117897	1	
"D1-D6, D8-D17, D19, D21-D33, D36-D66, D76-D91"	LED	3mm LED	77	116173	1	
"D7, D18, D34, D35"	スイッチングダイオード	1SS178	4	107783	1	
D20	ショットキーバリアダイオード	1S4	1	100127	1	
D67-D75	整流ダイオード	1N4007	9	108327	1	
J1	DCジャック	MJ-179PH	1	106568	1	
J2	ボックスヘッダ	2×10	1	113176	1	
"J3, J4"	ピンヘッダ	1×2	2	108593	1	
	ジャンパピン	2.54mmピッチ	2	103687	1	
"J5, J6"	ボックスヘッダ	2×5	2	112664	2	
PC1-PC16	フォトカプラ	PC817	16	113765	16	
Q1	ダーリントントランジスタ	TTD1509B	1	110006	1	
"R1-R8, R16, R19-R21, R24, R27, R31, R44-R50, R52-R58, R70, R88, R90, R92, R94, R96, R98, R100, R102"	炭素皮膜抵抗器	10kΩ 1/4W	38	125103	1	
"R9, R10, R17, R25, R41, R61-R69, R87, R89, R91, R93, R95, R97, R99, R101"	炭素皮膜抵抗器	2.2kΩ 1/4W	22	125222	1	
"R11, R15, R18, R26, R35, R37, R42"	炭素皮膜抵抗器	100kΩ 1/4W	7	125104	1	
R12	炭素皮膜抵抗器	220kΩ 1/4W	1	125224	1	
R13	炭素皮膜抵抗器	100Ω 1/4W	1	125101	1	
R14	炭素皮膜抵抗器	15kΩ 1/4W	1	125153	1	
"R22, R28, R36, R38"	炭素皮膜抵抗器	1kΩ 1/4W	4	125102	1	
"R23, R29, R32, R33, R39, R40, R43, R59, R60, R103, R104"	集合抵抗器	10kΩ 8素子	11	111910	11	
"R30, R51"	集合抵抗器	2.2kΩ 8素子	2	113723	2	
R34	集合抵抗器	10kΩ 4素子	1	111909	1	
R71-R78	炭素皮膜抵抗器	2.2kΩ 1W	8	107983	1	
R79-R86	炭素皮膜抵抗器	470Ω 1/4W	8	125471	1	
"RV1, RV2"	半固定抵抗器	1MΩ 3386K	2	106116	2	
SW1	トグルスイッチ	ON-OFF-ON	1	102400	1	
"SW2, SW4, SW13"	タクトスイッチ	□6mm	3	103647	3	
"SW3, SW5-SW12"	トグルスイッチ	ON-ON	9	102399	9	
"SW14, SW15"	BCDロータリースイッチ正論理	S-2110A	2	117402	1	
TP1-TP96	テストポイント		96			
"U1-U3, U5"	CMOSロジックIC	74HC00	4	110856	4	
U4	CMOSロジックIC	74HC74	1	110879	1	
U6	CMOSロジックIC	74HC02	1	111489	1	
"U7, U32"	CMOSロジックIC	74HC14	2	110923	2	
U8	CMOSロジックIC	74HC4060	1			
U9	リセットIC	PST600C	1			
U10	CMOSロジックIC	74HC590	1	110014	1	
"U11, U12, U16"	CMOSロジックIC	74HC132	3	110922	3	
"U13, U22"	CMOSロジックIC	74HC541	2	103632	2	
U14	SRAM	HM6264/62256/6116	1			
LC3564SM-70（秋月通販コード：114234）、SOP28P変換基板（秋月通販コード：102615）、連結ソケット28P（秋月通販コード：100267）で代替可能						
U15	CMOSロジックIC	74HC138	1	110013	1	
"U17, U18, U28"	CMOSロジックIC	74HC259	3	108602	3	
"U19, U20, U29, U34"	CMOSロジックIC	74HC251	4			
U21	CMOSロジックIC	74HC390	1			
"U23, U25"	CMOSロジックIC	4511B	2	114057	2	
"U24, U27"	7セグメントLED カソードコモン	OSL10321-LR	2	112286	2	
U26	CMOSロジックIC	74HC688	1			
"U30, U33"	CMOSロジックIC	74HC273	2	115412	2	
U31	トランジスタアレイ	TBD62084A	1	112536	1	
ZD1	ツェナーダイオード	15V	1	107498	1	
-	丸ピンICソケット	14ピン	11	100028	11	
-	丸ピンICソケット	16ピン	13	100029	13	
-	丸ピンICソケット	18ピン	1	100030	1	
-	丸ピンICソケット	20ピン	5	100031	5	
-	丸ピンICソケット	28ピン	1	100033	1	
-	ヒートシンク	11PB015	1	105052	1	
